gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds
4149576535,1,29049,3654,46,9.2,325,97,0,15,10,20,38,13,0,0,0,0,0,0,0,1,2,1,0,25341,5216,44,8.8,350,65,0,10,15,15,98,14,0,0,0,0,0,0,0,0,0,0
4147991609,1,25407,2752,47,9.4,396,96,0,5,8,7,38,18,0,0,0,0,0,0,0,0,0,0,0,27139,4714,46,9.2,409,82,0,8,5,11,36,12,1,0,1,0,1,0,0,1,1,1
4147703888,1,29414,4599,47,9.4,344,82,0,15,15,21,31,18,1,0,2,1,0,1,0,1,1,1,0,27794,1629,47,9.4,317,78,0,15,15,17,49,7,0,0,0,0,0,0,0,0,1,0
4147630220,0,24814,3384,46,9.2,359,92,0,7,10,9,101,9,0,0,0,0,0,0,0,0,0,0,1,27273,3534,48,9.6,404,95,0,10,7,7,32,7,1,0,1,0,1,0,0,1,1,0
4146383687,0,23364,1903,45,9,360,84,0,6,13,4,33,5,0,0,0,0,0,0,0,0,0,1,1,28683,3798,47,9.4,394,77,0,13,6,19,33,10,1,0,2,0,1,1,0,1,1,0
4146333157,1,25220,2560,47,9.4,373,62,0,9,8,16,29,9,0,0,0,0,0,0,0,0,0,0,0,25598,2588,47,9.4,404,94,0,8,9,9,30,9,0,0,0,0,0,0,0,1,2,1
4144780805,0,23122,2702,44,8.8,333,56,0,7,14,9,34,7,0,0,0,0,0,0,0,0,0,1,1,29509,3240,47,9.4,369,83,0,14,7,18,36,9,1,0,3,1,1,1,0,1,2,0
4144409815,1,26158,3223,45,9,345,60,0,11,12,7,41,8,1,0,1,0,0,1,0,0,0,0,0,27352,3244,46,9.2,348,84,0,12,11,18,28,15,0,0,1,1,0,0,0,1,1,0
4144333968,1,25834,3409,45,9,346,84,0,11,11,15,43,12,0,0,0,0,0,0,0,1,2,0,0,27784,5054,45,9,390,76,0,11,11,6,31,15,1,0,3,1,2,0,0,0,0,1
4144290256,1,25965,6280,45,9,310,62,0,11,9,14,34,8,0,0,0,0,0,0,0,1,1,0,0,26409,3234,45,9,346,90,0,9,11,15,54,12,1,0,2,1,0,1,0,0,0,1
4143248386,0,22977,2887,43,8.6,315,83,0,9,13,7,32,12,0,0,0,0,0,0,0,0,0,1,1,26284,2151,44,8.8,327,76,0,13,9,18,102,11,1,0,1,0,1,0,0,1,2,0
4143092299,0,25667,2057,44,8.8,320,80,0,9,15,11,23,13,0,0,0,0,0,0,0,0,0,0,1,28218,1413,46,9.2,343,88,0,15,9,13,122,8,1,0,1,0,0,1,0,1,2,1
4142501223,0,21680,1750,45,9,330,65,0,4,9,4,27,13,0,0,0,0,0,0,0,1,1,1,1,27204,2069,49,9.8,427,89,0,9,4,10,25,9,1,0,2,1,0,1,0,0,1,0
4138208445,1,26612,5027,47,9.4,365,84,0,9,6,13,32,10,1,0,2,1,0,1,0,1,2,0,0,24023,3423,46,9.2,343,95,0,6,9,4,29,9,0,0,1,0,1,0,0,0,0,1
4130899117,1,28322,1347,47,9.4,378,98,0,9,13,8,32,2,1,0,2,0,1,1,0,1,1,1,0,26029,3919,46,9.2,364,79,0,13,9,16,26,10,0,0,0,0,0,0,0,0,1,0
4130818212,1,28233,5853,46,9.2,334,81,0,16,14,17,66,8,0,0,1,0,1,0,0,1,1,0,0,25823,2093,43,8.6,308,58,0,14,16,16,47,10,1,0,1,0,0,1,0,0,0,0
4219897528,0,22957,3007,43,8.6,377,62,0,3,8,3,26,15,0,0,0,0,0,0,0,0,0,0,1,26572,8032,49,9.8,418,87,0,8,3,11,48,8,1,0,1,1,0,0,0,1,1,0
4216769322,1,28349,7234,48,9.6,337,52,0,15,8,20,32,13,1,0,1,1,0,0,0,1,1,1,0,23758,683,45,9,330,60,0,8,15,6,32,8,0,0,1,0,0,1,0,0,0,0
4215430805,0,24321,3496,47,9.4,366,76,0,7,12,10,27,4,0,0,0,0,0,0,0,1,1,0,1,27960,3744,48,9.6,349,87,0,12,7,11,23,10,1,0,3,1,2,0,0,0,0,1
4215302375,0,25716,3125,47,9.4,420,67,0,8,7,9,34,10,0,0,0,0,0,0,0,0,0,0,1,24310,3065,47,9.4,371,69,0,7,8,9,26,14,0,0,0,0,0,0,0,1,1,1
4212167509,1,26711,2671,43,8.6,340,87,0,10,4,15,41,11,0,0,2,1,0,1,0,0,1,1,0,23546,4491,43,8.6,338,75,0,4,10,9,43,8,1,0,1,0,0,1,0,1,1,0
4208838180,0,21238,2728,44,8.8,332,84,0,3,13,1,34,8,0,0,0,0,0,0,0,0,0,0,1,28333,3093,49,9.8,399,108,0,13,3,13,40,15,1,0,1,0,0,1,0,1,2,1
4215483715,1,29444,4039,50,10,335,99,0,18,9,27,43,17,0,0,0,0,0,0,0,1,2,0,0,24839,1839,46,9.2,325,78,0,9,18,11,107,16,0,0,0,0,0,0,0,0,0,1
4215392240,0,24482,3353,46,9.2,346,89,0,7,13,7,30,7,0,0,0,0,0,0,0,1,1,1,1,27415,4675,47,9.4,381,58,0,13,7,18,34,5,0,0,0,0,0,0,0,0,0,0
4213802041,0,21689,2224,41,8.2,306,61,0,4,18,7,35,11,0,0,0,0,0,0,0,0,0,0,1,30961,5561,51,10.2,376,102,0,18,4,27,50,11,1,0,1,1,0,0,0,1,1,1
